scenario,seed,allocator,task_completion_rate,mean_completion_time,system_throughput,mean_amv_availability,fault_impact_score,deadlock_frequency,mean_packet_loss_rate,energy_efficiency,convergence_rate,connectivity_maintenance,physics_impact_on_faults,thermocline_crossing_penalty,congestion_drop_rate,stalled_amv_timesteps,mean_task_delay,max_task_delay,never_completed_tasks
none,42,auction,0.8666666666666667,159.3846153846154,0.026,0.40278845509933153,0.5496,0.6,0.3515912535180775,23.230505420573504,1.614678899082569,0.922,-0.6443691480686079,0.4189218445550985,0.05953669625460056,0,59.733333333333334,256.0,2
none,100,auction,0.9333333333333333,147.5,0.028,0.3905549117371146,0.4124,0.2,0.3181362725450902,23.603436492453536,1.3981481481481481,0.862,0.3471934901329562,0.34393787575150303,0.04809619238476954,0,71.26666666666667,178.0,1
none,2023,auction,0.9333333333333333,160.71428571428572,0.028,0.38001672654534047,0.5804,0.8,0.33221052631578946,22.698685646621055,1.5272727272727273,0.922,-0.41554868666144434,0.42189473684210527,0.045263157894736845,0,51.4,129.0,1
none,888,auction,1.0,96.33333333333333,0.03,0.5742379501693176,0.37971014492753624,0.2,0.3197278911564626,11.06872460934297,1.5873015873015872,0.927536231884058,0.6352794424102955,0.3125250100040016,0.05922368947579031,0,53.4,148.0,0
none,9999,auction,0.6666666666666666,171.1,0.02,0.3810716686068485,0.3804,0.0,0.3275891197837473,30.329593480459767,1.9636363636363636,1.0,-0.7982144678304601,0.19614799797263052,0.11674269302247,0,35.06666666666667,116.0,5
none,10,auction,0.8,271.1666666666667,0.024,0.36500196253395983,0.4768,0.0,0.2945765937202664,27.24755494828221,1.4537037037037037,0.94,-0.39561267764276825,0.41731684110371076,0.06660323501427212,0,34.0,90.0,3
none,20,auction,0.9333333333333333,120.71428571428571,0.028,0.4807632866876627,0.3288,0.6,0.31829066126358446,19.99664480804992,1.6,1.0,0.5807263927843469,0.30097623871799595,0.06262663473936268,0,70.53333333333333,288.0,1
none,30,auction,0.7333333333333333,188.0909090909091,0.022,0.40496307068540593,0.4612,0.0,0.314328743545611,32.093505588442824,1.9189189189189189,0.7,-0.7224563593785639,0.4023235800344234,0.11854561101549053,0,44.6,88.0,4
none,40,auction,0.8666666666666667,139.53846153846155,0.026,0.3889605668078356,0.4496,0.6,0.3498561628678911,26.707029034456404,1.7889908256880733,1.0,-0.2666333723034648,0.32529320646160653,0.08143394556317769,0,46.8,153.0,2
none,50,auction,0.9333333333333333,181.57142857142858,0.028,0.43313416479819333,0.4288,0.2,0.26908889708594613,24.464313401289665,1.6160714285714286,0.842,-0.5624670603478378,0.30745112504610844,0.083364072298045,0,45.0,105.0,1
none,60,auction,0.9333333333333333,102.57142857142857,0.028,0.39567677517407773,0.5136,1.4000000000000001,0.33765165535677566,19.590552655992663,1.6,0.902,0.8412471908221992,0.4192885050380424,0.06559736787990952,0,56.0,240.0,1
none,70,auction,0.9333333333333333,134.0,0.028,0.4797596681486537,0.4496,0.4,0.33319397993311034,19.997814954643253,1.509090909090909,0.982,-0.764325405532048,0.3363294314381271,0.05560200668896321,0,67.33333333333333,217.0,1
none,80,auction,0.9333333333333333,180.78571428571428,0.028,0.39933177721601,0.4812,0.0,0.312372634643377,20.520294136279006,1.736842105263158,0.54,0.009550402106720085,0.23056768558951965,0.06870451237263464,0,48.93333333333333,139.0,1
none,90,auction,1.0,126.93333333333334,0.03,0.5624128871774315,0.3706422018348624,0.2,0.3085057471264368,13.35617159337836,1.2564102564102564,1.0,-0.37604379109628505,0.3604597701149425,0.02160919540229885,0,67.8,185.0,0
none,1000,auction,0.7333333333333333,135.45454545454547,0.022,0.3844535695009933,0.3612,0.0,0.29188818384496656,29.60164665056003,1.809090909090909,1.0,-0.4757954771993559,0.16155033441948208,0.11147316069284857,0,41.06666666666667,129.0,4
amv_loss,42,auction,0.8666666666666667,168.69230769230768,0.026,0.3340424761255083,0.4288,0.6,0.36846473029045645,27.725752696527216,1.5363636363636364,0.662,0.31327335886982255,0.5006915629322268,0.049515905947441215,0,42.13333333333333,173.0,2
amv_loss,100,auction,1.0,180.93333333333334,0.03,0.31102874262397623,0.497489539748954,0.2,0.2948645598194131,24.2619874841024,1.25,0.8158995815899581,0.7759683140566049,0.35835214446952596,0.022855530474040632,0,59.53333333333333,160.0,0
amv_loss,2023,auction,0.8,148.58333333333334,0.024,0.30313848857470277,0.496,0.8,0.3331573389651531,33.0052972853564,1.4036697247706422,0.922,-0.6902115850191322,0.44825765575501586,0.03695881731784583,0,40.93333333333333,96.0,3
amv_loss,888,auction,1.0,103.0,0.03,0.4401614368435165,0.41456953642384103,0.4,0.31979127841967947,20.145757906092573,1.5522388059701493,0.9337748344370861,0.5630448244690813,0.35519940365262764,0.0506895266492732,0,57.53333333333333,208.0,0
amv_loss,9999,auction,0.6666666666666666,166.0,0.02,0.2867307210659782,0.482,0.2,0.3490763664063988,35.85752830929096,1.8611111111111112,1.0,0.16381582315147056,0.42391925347552845,0.07655684631498762,0,33.333333333333336,100.0,5
amv_loss,10,auction,0.8,250.91666666666666,0.024,0.3278414785377472,0.3524,0.2,0.24769136055817773,31.084548182954535,1.205607476635514,0.94,0.5598735726729619,0.47014159655243176,0.025856761748409604,0,40.0,81.0,3
amv_loss,20,auction,1.0,135.33333333333334,0.03,0.4468141420741408,0.4126436781609195,0.2,0.2806026365348399,21.416759308062034,1.3614457831325302,1.0,0.007773531468850608,0.19177652228499686,0.044569993722536096,0,51.53333333333333,99.0,0
amv_loss,30,auction,0.8,176.5,0.024,0.3284661963861271,0.4972,0.4,0.3327317843446876,32.70974528174192,1.481818181818182,0.922,0.24596540944079345,0.3794270245883149,0.06586961425671103,0,42.2,105.0,3
amv_loss,40,auction,0.8,146.08333333333334,0.024,0.3230598424120916,0.4932,0.6,0.33562035448827904,30.8249403821914,1.794392523364486,1.0,0.8817632999582521,0.49132837812083097,0.06041547550981513,0,38.93333333333333,89.0,3
amv_loss,50,auction,0.8666666666666667,161.07692307692307,0.026,0.34925211312652793,0.448,0.2,0.25402252614641996,30.712599303835304,1.4324324324324325,0.842,0.21739927978786444,0.3905872888173773,0.04806918744971842,0,44.6,149.0,2
amv_loss,60,auction,1.0,127.13333333333334,0.03,0.332473701450909,0.4883495145631068,0.6,0.33281653746770024,23.60513759737687,1.627659574468085,0.8810679611650486,-0.6512617623194008,0.39354005167958656,0.08010335917312661,0,40.8,138.0,0
amv_loss,70,auction,0.9333333333333333,164.21428571428572,0.028,0.36041972229309915,0.4928,0.6,0.2747869465807524,26.846953746190184,1.2818181818181817,0.982,-0.28655492833660284,0.3554354604032426,0.03180212014134275,0,53.8,140.0,1
amv_loss,80,auction,0.7333333333333333,150.72727272727272,0.022,0.32568182085038017,0.4132,0.4,0.30261309356560834,32.047150161087906,1.2962962962962963,0.822,-0.5128447991483109,0.35656083169429614,0.025849957853329587,0,36.733333333333334,90.0,4
amv_loss,90,auction,1.0,163.4,0.03,0.39616215734848115,0.32674698795180723,0.4,0.29402466013278533,24.980662192363198,1.4408602150537635,1.0,0.09415695986743558,0.38159974707556116,0.03066708820739804,0,70.33333333333333,152.0,0
amv_loss,1000,auction,0.7333333333333333,160.9090909090909,0.022,0.30404464134915554,0.4808,0.8,0.25785461981781,34.01175419861379,1.8037383177570094,1.0,-0.9537273335082516,0.13366796802379624,0.07176055028815766,0,29.866666666666667,119.0,4
comm_blackout,42,auction,0.9333333333333333,170.0,0.028,0.44924933096856756,0.3492,0.4,0.5219269820695615,20.743212053075233,1.7747747747747749,0.62,-0.0530700612293875,0.34975156621300496,0.07107366601857852,0,54.4,176.0,1
comm_blackout,100,auction,1.0,159.93333333333334,0.03,0.4592907694936073,0.46094182825484764,0.0,0.6153846153846154,18.18943928431698,1.5769230769230769,0.3296398891966759,0.15665846819567975,0.3588614029142663,0.05489664520501525,0,66.8,171.0,0
comm_blackout,2023,auction,0.8666666666666667,154.69230769230768,0.026,0.38955065964348407,0.524,1.0,0.4951681484344801,25.071953461921687,1.614678899082569,0.62,0.08612710770048446,0.4694626981059142,0.051797448782373405,0,44.53333333333333,145.0,2
comm_blackout,888,auction,1.0,93.93333333333334,0.03,0.5928943302070826,0.37583333333333335,0.0,0.6613449443638123,10.066687996545047,1.5892857142857142,0.5375,0.8422075901419515,0.38800193517174647,0.06966618287373004,0,51.53333333333333,131.0,0
comm_blackout,9999,auction,0.6666666666666666,153.5,0.02,0.381803176833035,0.4372,0.0,0.5267425810904072,28.21441235420328,1.7545454545454546,0.698,0.5206369513143267,0.4530710835058661,0.12198067632850242,0,30.2,70.0,5
comm_blackout,10,auction,0.7333333333333333,250.45454545454547,0.022,0.37838245974110046,0.4048,0.4,0.4385996090279012,30.013925915152424,1.691588785046729,0.638,-0.3754293385595187,0.3490314554824951,0.07481784254487293,0,35.733333333333334,82.0,4
comm_blackout,20,auction,0.9333333333333333,120.28571428571429,0.028,0.46935289987839923,0.3884,0.6,0.5000907605736068,20.29249543514799,1.6216216216216217,0.698,0.027710440598684355,0.25993828280994735,0.06371392267199129,0,70.2,289.0,1
comm_blackout,30,auction,0.6666666666666666,148.7,0.02,0.40642157021516656,0.4976,0.0,0.5495945102932003,32.06659029103058,2.0091743119266057,0.318,0.0987899992580318,0.38947806196714496,0.11998336452484924,0,38.06666666666667,86.0,5
comm_blackout,40,auction,0.9333333333333333,159.0,0.028,0.3920930538520701,0.4084,0.0,0.561090458488228,25.18091212513525,1.7876106194690264,0.416,0.5126651238783191,0.3660470879801735,0.08897149938042132,0,47.666666666666664,179.0,1
comm_blackout,50,auction,0.9333333333333333,175.5,0.028,0.413952467147255,0.4924,0.8,0.48388899236356864,25.070106323930286,1.644859813084112,0.54,-0.3855720714099664,0.47383125349227045,0.06463028496926802,0,50.0,106.0,1
comm_blackout,60,auction,1.0,113.0,0.03,0.4605625130486427,0.5418060200668896,0.0,0.6448275862068965,14.078240695724086,1.6027397260273972,0.33444816053511706,-0.050233160523898944,0.4272030651340996,0.08160919540229886,0,44.46666666666667,123.0,0
comm_blackout,70,auction,1.0,163.53333333333333,0.03,0.4989048182217177,0.4447963800904977,0.4,0.5486208508648901,18.918379401260953,1.6145833333333333,0.6380090497737556,0.05218869912689293,0.3599812996727443,0.05236091631603553,0,67.46666666666667,194.0,0
