scenario,seed,config_label,allocator,timeout,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time,deadlock_timeout_fires
none,42,CBBA,cbba,30,0.9333333333333333,1,60.0,141.0,0.1267605633802817,148.07142857142858,0
none,100,CBBA,cbba,30,1.0,0,48.266666666666666,112.0,0.14414414414414414,116.66666666666667,0
none,2023,CBBA,cbba,30,0.9333333333333333,1,98.4,381.0,0.1141552511415525,194.92857142857142,0
none,888,CBBA,cbba,30,0.8666666666666667,2,86.33333333333333,331.0,0.0989010989010989,121.3076923076923,0
none,9999,CBBA,cbba,30,1.0,0,72.6,259.0,0.12234042553191489,165.46666666666667,0
none,10,CBBA,cbba,30,1.0,0,57.06666666666667,181.0,0.07228915662650602,132.73333333333332,0
none,20,CBBA,cbba,30,0.9333333333333333,1,92.06666666666666,360.0,0.09230769230769231,147.64285714285714,0
none,30,CBBA,cbba,30,1.0,0,64.33333333333333,143.0,0.12037037037037036,128.4,0
none,40,CBBA,cbba,30,0.9333333333333333,1,75.93333333333334,321.0,0.14049586776859505,170.42857142857142,0
none,50,CBBA,cbba,30,1.0,0,60.93333333333333,166.0,0.10606060606060606,122.06666666666666,0
none,60,CBBA,cbba,30,1.0,0,46.333333333333336,113.0,0.14556962025316456,113.26666666666667,0
none,70,CBBA,cbba,30,1.0,0,62.53333333333333,246.0,0.11627906976744186,128.46666666666667,0
none,80,CBBA,cbba,30,0.8666666666666667,2,93.86666666666666,340.0,0.11214953271028037,131.3846153846154,0
none,90,CBBA,cbba,30,1.0,0,48.0,114.0,0.125,124.0,0
none,1000,CBBA,cbba,30,0.8,3,67.13333333333334,264.0,0.13963963963963963,230.25,0
amv_loss,42,CBBA,cbba,30,0.7333333333333333,4,59.8,151.0,0.11442786069651742,137.45454545454547,0
amv_loss,100,CBBA,cbba,30,1.0,0,52.0,125.0,0.11510791366906475,127.06666666666666,0
amv_loss,2023,CBBA,cbba,30,0.9333333333333333,1,71.93333333333334,221.0,0.1285140562248996,208.28571428571428,0
amv_loss,888,CBBA,cbba,30,1.0,0,55.4,131.0,0.1276595744680851,167.46666666666667,0
amv_loss,9999,CBBA,cbba,30,0.9333333333333333,1,64.46666666666667,160.0,0.07526881720430108,203.71428571428572,0
amv_loss,10,CBBA,cbba,30,0.9333333333333333,1,72.46666666666667,425.0,0.043795620437956206,126.5,0
amv_loss,20,CBBA,cbba,30,0.9333333333333333,1,72.0,251.0,0.11386138613861387,150.57142857142858,0
amv_loss,30,CBBA,cbba,30,1.0,0,54.46666666666667,143.0,0.12149532710280374,128.06666666666666,0
amv_loss,40,CBBA,cbba,30,0.9333333333333333,1,67.2,166.0,0.10047846889952153,210.64285714285714,0
amv_loss,50,CBBA,cbba,30,1.0,0,56.46666666666667,216.0,0.1095890410958904,125.6,0
amv_loss,60,CBBA,cbba,30,0.9333333333333333,1,64.93333333333334,322.0,0.09950248756218906,110.85714285714286,0
amv_loss,70,CBBA,cbba,30,1.0,0,49.86666666666667,112.0,0.15384615384615385,112.4,0
amv_loss,80,CBBA,cbba,30,0.8666666666666667,2,70.2,271.0,0.1,137.92307692307693,0
amv_loss,90,CBBA,cbba,30,1.0,0,41.06666666666667,114.0,0.1092436974789916,121.0,0
amv_loss,1000,CBBA,cbba,30,0.8,3,76.2,250.0,0.1339712918660287,193.08333333333334,0
comm_blackout,42,CBBA,cbba,30,1.0,0,49.13333333333333,127.0,0.12,156.53333333333333,0
comm_blackout,100,CBBA,cbba,30,1.0,0,48.266666666666666,112.0,0.14414414414414414,116.66666666666667,0
comm_blackout,2023,CBBA,cbba,30,0.9333333333333333,1,90.0,259.0,0.11737089201877934,181.21428571428572,0
comm_blackout,888,CBBA,cbba,30,1.0,0,73.0,221.0,0.13736263736263737,159.93333333333334,0
